genre,playlist_id
pop,6gS3HhOiI17QNojjPuPzqc
rap,6s5MoZzR70Qef7x4bVxDO1
rock,7dowgSWOmvdpwNkGFMUs6e
urbano latino,1kfJj9rUlOGawu2U1U4oZn
hip hop,6MXkE0uYF4XwU4VTtyrpfP
trap latino,7MIkj5EbBCaUutUBEfGpEJ
reggaeton,0VKCDh1qcRXjMfDhGEXihm
dance pop,2ZIRxkFuqNPMnlY7vL54uK
pop rap,5SrYLEPXnsfmK4ZuOCIKKm
modern rock,5HufsVvMDoIPr9tGzoJpW0
pov: indie,3ByKGRaNhQrtrvuGdjQ2Vf
musica mexicana,0Vv6NMPjPTWbdPybFlryM4
latin pop,5tRvNV4dHaAbqPORml4YFS
classic rock,6NbtuNCQqvy9FXg1eYNqjJ
filmi,1uny7o4LNoe7C5qJJ8S1k1
permanent wave,4EYSGTuqe9cVfSVpX4gtGv
trap,60SHtDyagDjPnUpC7x1UD9
alternative metal,0zJrEnj3O8CohOpFFUVSo9
k-pop,3T1Rft817cZ3pguTvaWaz3
r&b,1rLnwJimWCmjp3f0mEbnkY
corrido,6UL8UnDWu9c95luN7S4wRs
canadian pop,4GdH9Ia0enMmulZlKOt9n4
norteno,2UITkS3qkO0x6bKVzKZrbS
sierreno,1ToiYTSneIiS6m4pYfrZrI
album rock,3yj9YnQGTdnFuKbDyXGDi6
soft rock,7ABVommvnBuEMEwF5tTxkW
pop dance,2HhaArHsOiofpUheCRPkLa
sad sierreno,5q9psMZx7aMShZPWwVFFum
edm,3pDxuMpz94eDs7WFqudTbZ
hard rock,0yw5Q26eYIvaBediIFrYwN
contemporary country,0VZfpqcbBUWC6kpP1vVrvA
mellow gold,49vErWAk7BLsLccmRxngH3
uk pop,0OGpuF8rnCzlcjJLsdywny
melodic rap,2V9SF7DMoOLEvxGVGT4uuU
modern bollywood,2HibxdzVLGDPR5GIrm4cza
alternative rock,3dlw4x21qVajwZLPNHtS3u
banda,6kFjZNVsJZVRGtjZsHbi5U
post-grunge,60NgGlktCblheYPBSSUUXz
corridos tumbados,1CrWKL1wwHpcYQqLmQpHxH
sertanejo universitario,4JU3dwfdYvsBf0c4MOerz0
nu metal,6eFAocA46YeKpvr0HY4DQJ
country,4mijVkpSXJziPiOrK7YX4M
art pop,5oqAgQxfCjjD5ejU76a8V3
atl hip hop,2NvIqZZ9VkCBIxrEbrwoM4
urban contemporary,07zF8MjQPsiYUXiAIGZ5TA
sertanejo,2EkYuzS8qUbRdqV5Bjnnin
southern hip hop,18jT9NMRZifv6cMtK2jWD4
singer-songwriter,6gD9fCYGxsT9A8t3BHDVuj
reggaeton colombiano,6svSgLHdMo6N5iGPSnUkKv
arrocha,5b2Mfu6N64F4k11IVaZCdS
french hip hop,1Wc17kLi2R2EsIACx5ElYt
colombian pop,2nl7TE1YytDEEfs4Ul6ALj
alt z,6TySxsLwRVYqEh7LZ6fyq8
country road,4fj8PNbbwGXBWHKodGQhfD
mexican pop,4sghNjSZeUx5DFTADuPhPj
canadian hip hop,5e1PICDGQN7VplhLeKVATy
j-pop,3leFycE2a7uXZyuC6DQbdQ
indonesian pop,4VNawKxjIoJkE30Z9LbFzA
